image,type,car,coco_ssd_mobilenet_v1_1.0_quant_2018_06_29,lite-model_efficientdet_lite2_detection_metadata_1,lite-model_efficientdet_lite3_detection_metadata_1,lite-model_efficientdet_lite4_detection_metadata_1,ssd_mobilenet,ssd_mobilenet_1,TFLite_model_bbd,
parking-lot-1.jpg,vehicles,3,10,6,10,8,10,10,10,
parking-lot-1.jpg,pedestrians,0,0,0,1,1,0,0,0,
parking-lot-1.jpg,objects,"[{'name': 'car', 'confidence': 0.9979469, 'coord': {}}, {'name': 'car', 'confidence': 0.7692046, 'coord': {}}, {'name': 'car', 'confidence': 0.54718006, 'coord': {}}]","[{'name': 'car', 'confidence': 0.82421875, 'coord': {}}, {'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.609375, 'coord': {}}, {'name': 'car', 'confidence': 0.59765625, 'coord': {}}, {'name': 'car', 'confidence': 0.59765625, 'coord': {}}, {'name': 'car', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.859375, 'coord': {}}, {'name': 'car', 'confidence': 0.7421875, 'coord': {}}, {'name': 'car', 'confidence': 0.7265625, 'coord': {}}, {'name': 'car', 'confidence': 0.6953125, 'coord': {}}, {'name': 'car', 'confidence': 0.67578125, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.8671875, 'coord': {}}, {'name': 'car', 'confidence': 0.8359375, 'coord': {}}, {'name': 'car', 'confidence': 0.80078125, 'coord': {}}, {'name': 'car', 'confidence': 0.78515625, 'coord': {}}, {'name': 'car', 'confidence': 0.7734375, 'coord': {}}, {'name': 'car', 'confidence': 0.67578125, 'coord': {}}, {'name': 'person', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.6015625, 'coord': {}}, {'name': 'car', 'confidence': 0.58203125, 'coord': {}}, {'name': 'car', 'confidence': 0.51953125, 'coord': {}}, {'name': 'car', 'confidence': 0.51953125, 'coord': {}}]","[{'name': 'car', 'confidence': 0.87890625, 'coord': {}}, {'name': 'car', 'confidence': 0.859375, 'coord': {}}, {'name': 'car', 'confidence': 0.859375, 'coord': {}}, {'name': 'car', 'confidence': 0.81640625, 'coord': {}}, {'name': 'car', 'confidence': 0.8046875, 'coord': {}}, {'name': 'car', 'confidence': 0.6875, 'coord': {}}, {'name': 'car', 'confidence': 0.6171875, 'coord': {}}, {'name': 'car', 'confidence': 0.55859375, 'coord': {}}, {'name': 'person', 'confidence': 0.5390625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.82421875, 'coord': {}}, {'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.609375, 'coord': {}}, {'name': 'car', 'confidence': 0.59765625, 'coord': {}}, {'name': 'car', 'confidence': 0.59765625, 'coord': {}}, {'name': 'car', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.82421875, 'coord': {}}, {'name': 'car', 'confidence': 0.62109375, 'coord': {}}, {'name': 'car', 'confidence': 0.609375, 'coord': {}}, {'name': 'car', 'confidence': 0.59765625, 'coord': {}}, {'name': 'car', 'confidence': 0.59765625, 'coord': {}}, {'name': 'car', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.5859375, 'coord': {}}, {'name': 'car', 'confidence': 0.57421875, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.99609375, 'coord': {}}, {'name': 'car', 'confidence': 0.82421875, 'coord': {}}, {'name': 'car', 'confidence': 0.82421875, 'coord': {}}, {'name': 'car', 'confidence': 0.73828125, 'coord': {}}, {'name': 'car', 'confidence': 0.73828125, 'coord': {}}, {'name': 'car', 'confidence': 0.73828125, 'coord': {}}, {'name': 'car', 'confidence': 0.73828125, 'coord': {}}, {'name': 'car', 'confidence': 0.68359375, 'coord': {}}, {'name': 'car', 'confidence': 0.68359375, 'coord': {}}, {'name': 'car', 'confidence': 0.68359375, 'coord': {}}]",.
,,,,,,,,,,
parking-lot-2.jpg,vehicles,0,5,2,1,3,5,5,1,
parking-lot-2.jpg,pedestrians,0,0,0,0,0,0,0,0,
parking-lot-2.jpg,objects,[],"[{'name': 'car', 'confidence': 0.64453125, 'coord': {}}, {'name': 'car', 'confidence': 0.609375, 'coord': {}}, {'name': 'car', 'confidence': 0.55078125, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}, {'name': 'car', 'confidence': 0.51171875, 'coord': {}}]","[{'name': 'car', 'confidence': 0.6953125, 'coord': {}}, {'name': 'car', 'confidence': 0.5625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.640625, 'coord': {}}]","[{'name': 'car', 'confidence': 0.765625, 'coord': {}}, {'name': 'car', 'confidence': 0.6171875, 'coord': {}}, {'name': 'car', 'confidence': 0.578125, 'coord': {}}]","[{'name': 'car', 'confidence': 0.64453125, 'coord': {}}, {'name': 'car', 'confidence': 0.609375, 'coord': {}}, {'name': 'car', 'confidence': 0.55078125, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}, {'name': 'car', 'confidence': 0.51171875, 'coord': {}}]","[{'name': 'car', 'confidence': 0.64453125, 'coord': {}}, {'name': 'car', 'confidence': 0.609375, 'coord': {}}, {'name': 'car', 'confidence': 0.55078125, 'coord': {}}, {'name': 'car', 'confidence': 0.5390625, 'coord': {}}, {'name': 'car', 'confidence': 0.51171875, 'coord': {}}]","[{'name': 'car', 'confidence': 0.625, 'coord': {}}]",.
,,,,,,,,,,
parking-lot-3.jpg,vehicles,1,1,1,1,1,1,1,1,
parking-lot-3.jpg,pedestrians,0,0,0,0,0,0,0,0,
